Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
29,38,Jim,Sound Level,67.26,2021-03-10T16:16:10.000Z,dBa
9,35,Joyce,Sound Level,56.99,2021-03-10T16:18:23.000Z,dBa
29,38,Jim,Sound Level,75.87,2021-03-10T16:21:10.000Z,dBa
29,38,Jim,Sound Level,64.26,2021-03-10T16:26:10.000Z,dBa
29,38,Jim,Sound Level,63.69,2021-03-10T16:32:21.000Z,dBa
9,35,Joyce,Sound Level,58.37,2021-03-10T16:33:54.000Z,dBa
29,38,Jim,Sound Level,64.56,2021-03-10T16:37:21.000Z,dBa
29,38,Jim,Sound Level,65.62,2021-03-10T16:42:21.000Z,dBa
29,38,Jim,Sound Level,63.71,2021-03-10T16:47:21.000Z,dBa
29,38,Jim,Sound Level,63.83,2021-03-10T16:52:21.000Z,dBa
29,38,Jim,Sound Level,65.88,2021-03-10T16:57:21.000Z,dBa
9,35,Joyce,Sound Level,57.96,2021-03-10T16:59:45.000Z,dBa
29,38,Jim,Sound Level,71.71,2021-03-10T17:03:33.000Z,dBa
29,38,Jim,Sound Level,65.66,2021-03-10T17:08:33.000Z,dBa
29,38,Jim,Sound Level,70.32,2021-03-10T17:13:33.000Z,dBa
29,38,Jim,Sound Level,64.33,2021-03-10T17:18:33.000Z,dBa
29,38,Jim,Sound Level,63.75,2021-03-10T17:23:33.000Z,dBa
9,35,Joyce,Sound Level,59.4,2021-03-10T17:25:36.000Z,dBa
29,38,Jim,Sound Level,62.81,2021-03-10T17:28:33.000Z,dBa
29,38,Jim,Sound Level,68.26,2021-03-10T17:30:32.000Z,dBa
29,38,Jim,Sound Level,68,2021-03-10T17:35:32.000Z,dBa
29,38,Jim,Sound Level,61.19,2021-03-10T17:40:32.000Z,dBa
29,38,Jim,Sound Level,74.36,2021-03-10T17:45:32.000Z,dBa
9,35,Joyce,Sound Level,58.06,2021-03-10T17:46:17.000Z,dBa
29,38,Jim,Sound Level,65.31,2021-03-10T17:50:32.000Z,dBa
29,38,Jim,Sound Level,94.9,2021-03-10T17:54:34.000Z,dBa
29,38,Jim,Sound Level,66.57,2021-03-10T18:01:20.000Z,dBa
29,38,Jim,Sound Level,64.81,2021-03-10T18:06:20.000Z,dBa
9,35,Joyce,Sound Level,58.62,2021-03-10T18:06:59.000Z,dBa
29,38,Jim,Sound Level,65.69,2021-03-10T18:21:20.000Z,dBa
9,35,Joyce,Sound Level,56.18,2021-03-10T18:22:31.000Z,dBa
29,38,Jim,Sound Level,63.18,2021-03-10T18:26:20.000Z,dBa
29,38,Jim,Sound Level,61.49,2021-03-10T18:31:20.000Z,dBa
29,38,Jim,Sound Level,61.29,2021-03-10T18:37:22.000Z,dBa
9,35,Joyce,Sound Level,63.24,2021-03-10T18:38:03.000Z,dBa
29,38,Jim,Sound Level,63.96,2021-03-10T18:42:22.000Z,dBa
9,35,Joyce,Sound Level,59.66,2021-03-10T18:43:14.000Z,dBa
29,38,Jim,Sound Level,65.64,2021-03-10T18:47:22.000Z,dBa
9,35,Joyce,Sound Level,58.97,2021-03-10T18:48:24.000Z,dBa
29,38,Jim,Sound Level,60.66,2021-03-10T18:52:22.000Z,dBa
9,35,Joyce,Sound Level,58.62,2021-03-10T18:53:35.000Z,dBa
29,38,Jim,Sound Level,73.29,2021-03-10T18:57:22.000Z,dBa
9,35,Joyce,Sound Level,57.76,2021-03-10T18:58:46.000Z,dBa
29,38,Jim,Sound Level,58.89,2021-03-10T19:02:22.000Z,dBa
29,38,Jim,Sound Level,64.55,2021-03-10T19:08:41.000Z,dBa
9,35,Joyce,Sound Level,57.53,2021-03-10T19:09:08.000Z,dBa
29,38,Jim,Sound Level,63.47,2021-03-10T19:13:41.000Z,dBa
29,38,Jim,Sound Level,61.76,2021-03-10T19:18:41.000Z,dBa
29,38,Jim,Sound Level,54.51,2021-03-10T19:23:41.000Z,dBa
29,38,Jim,Sound Level,62.26,2021-03-10T19:28:41.000Z,dBa
9,35,Joyce,Sound Level,58.68,2021-03-10T19:29:52.000Z,dBa
29,38,Jim,Sound Level,61.01,2021-03-10T19:33:41.000Z,dBa
9,35,Joyce,Sound Level,56.1,2021-03-10T19:35:03.000Z,dBa
29,38,Jim,Sound Level,62.17,2021-03-10T19:40:01.000Z,dBa
9,35,Joyce,Sound Level,57.99,2021-03-10T19:40:14.000Z,dBa
29,38,Jim,Sound Level,59.51,2021-03-10T19:45:01.000Z,dBa
9,35,Joyce,Sound Level,61.54,2021-03-10T19:45:25.000Z,dBa
29,38,Jim,Sound Level,65.88,2021-03-10T19:50:01.000Z,dBa
9,35,Joyce,Sound Level,55.75,2021-03-10T19:50:36.000Z,dBa
29,38,Jim,Sound Level,63.85,2021-03-10T19:55:01.000Z,dBa
9,35,Joyce,Sound Level,60.92,2021-03-10T19:55:47.000Z,dBa
29,38,Jim,Sound Level,62.01,2021-03-10T20:00:01.000Z,dBa
29,38,Jim,Sound Level,67.17,2021-03-10T20:05:01.000Z,dBa
29,38,Jim,Sound Level,75.14,2021-03-10T20:11:22.000Z,dBa
29,38,Jim,Sound Level,60.46,2021-03-10T20:16:22.000Z,dBa
9,35,Joyce,Sound Level,62.05,2021-03-10T20:16:32.000Z,dBa
29,38,Jim,Sound Level,64.03,2021-03-10T20:21:22.000Z,dBa
9,35,Joyce,Sound Level,61.32,2021-03-10T20:21:43.000Z,dBa
29,38,Jim,Sound Level,69.43,2021-03-10T20:26:22.000Z,dBa
9,35,Joyce,Sound Level,59.99,2021-03-10T20:26:54.000Z,dBa
29,38,Jim,Sound Level,58.43,2021-03-10T20:31:22.000Z,dBa
9,35,Joyce,Sound Level,58.27,2021-03-10T20:32:05.000Z,dBa
29,38,Jim,Sound Level,62.35,2021-03-10T20:36:22.000Z,dBa
29,38,Jim,Sound Level,55.54,2021-03-10T20:42:42.000Z,dBa
9,35,Joyce,Sound Level,63.2,2021-03-10T20:47:39.000Z,dBa
29,38,Jim,Sound Level,64.95,2021-03-10T20:47:42.000Z,dBa
29,38,Jim,Sound Level,60.86,2021-03-10T20:52:42.000Z,dBa
29,38,Jim,Sound Level,60.72,2021-03-10T20:57:42.000Z,dBa
9,35,Joyce,Sound Level,60.99,2021-03-10T20:58:01.000Z,dBa
29,38,Jim,Sound Level,60.98,2021-03-10T21:02:42.000Z,dBa
29,38,Jim,Sound Level,72.14,2021-03-10T21:07:42.000Z,dBa
29,38,Jim,Sound Level,59.19,2021-03-10T21:14:02.000Z,dBa
9,35,Joyce,Sound Level,60.11,2021-03-10T21:18:46.000Z,dBa
29,38,Jim,Sound Level,71.58,2021-03-10T21:19:02.000Z,dBa
9,35,Joyce,Sound Level,57.79,2021-03-10T21:23:57.000Z,dBa
29,38,Jim,Sound Level,60.29,2021-03-10T21:24:02.000Z,dBa
29,38,Jim,Sound Level,57.23,2021-03-10T21:29:02.000Z,dBa
29,38,Jim,Sound Level,61.86,2021-03-10T21:34:02.000Z,dBa
9,35,Joyce,Sound Level,59.29,2021-03-10T21:34:46.000Z,dBa
29,38,Jim,Sound Level,61.32,2021-03-10T21:39:02.000Z,dBa
9,35,Joyce,Sound Level,62.07,2021-03-10T21:39:57.000Z,dBa
9,35,Joyce,Sound Level,57.77,2021-03-10T21:45:09.000Z,dBa
29,38,Jim,Sound Level,61.04,2021-03-10T21:45:21.000Z,dBa
9,35,Joyce,Sound Level,58.25,2021-03-10T21:50:20.000Z,dBa
29,38,Jim,Sound Level,65.62,2021-03-10T21:50:21.000Z,dBa
29,38,Jim,Sound Level,64.25,2021-03-10T21:55:21.000Z,dBa
9,35,Joyce,Sound Level,59.8,2021-03-10T21:55:31.000Z,dBa
29,38,Jim,Sound Level,64.8,2021-03-10T22:00:21.000Z,dBa
9,35,Joyce,Sound Level,62.18,2021-03-10T22:00:42.000Z,dBa
29,38,Jim,Sound Level,72.73,2021-03-10T22:05:21.000Z,dBa
9,35,Joyce,Sound Level,58.83,2021-03-10T22:05:54.000Z,dBa
29,38,Jim,Sound Level,61.84,2021-03-10T22:10:21.000Z,dBa
9,35,Joyce,Sound Level,58.11,2021-03-10T22:16:16.000Z,dBa
29,38,Jim,Sound Level,56.48,2021-03-10T22:16:41.000Z,dBa
9,35,Joyce,Sound Level,58.44,2021-03-10T22:21:27.000Z,dBa
29,38,Jim,Sound Level,61.24,2021-03-10T22:21:41.000Z,dBa
9,35,Joyce,Sound Level,56.54,2021-03-10T22:26:39.000Z,dBa
29,38,Jim,Sound Level,57.66,2021-03-10T22:26:41.000Z,dBa
29,38,Jim,Sound Level,59.46,2021-03-10T22:31:41.000Z,dBa
9,35,Joyce,Sound Level,57.36,2021-03-10T22:31:50.000Z,dBa
29,38,Jim,Sound Level,62.97,2021-03-10T22:36:41.000Z,dBa
9,35,Joyce,Sound Level,76.45,2021-03-10T22:37:02.000Z,dBa
29,38,Jim,Sound Level,59.82,2021-03-10T22:41:41.000Z,dBa
9,35,Joyce,Sound Level,58.8,2021-03-10T22:42:13.000Z,dBa
9,35,Joyce,Sound Level,70.01,2021-03-10T22:47:24.000Z,dBa
29,38,Jim,Sound Level,59.22,2021-03-10T22:48:02.000Z,dBa
9,35,Joyce,Sound Level,66.81,2021-03-10T22:52:36.000Z,dBa
29,38,Jim,Sound Level,64.28,2021-03-10T22:53:02.000Z,dBa
9,35,Joyce,Sound Level,65.26,2021-03-10T22:57:47.000Z,dBa
29,38,Jim,Sound Level,70.74,2021-03-10T22:58:02.000Z,dBa
9,35,Joyce,Sound Level,61.8,2021-03-10T23:02:59.000Z,dBa
29,38,Jim,Sound Level,65.92,2021-03-10T23:03:02.000Z,dBa
29,38,Jim,Sound Level,59.95,2021-03-10T23:08:02.000Z,dBa
9,35,Joyce,Sound Level,59.27,2021-03-10T23:08:10.000Z,dBa
